"grid","sp","mean","sd","ncams","t","d"
"171",3,"PEMA",107.333333333333,72.3461886659743,24,0,8
"172",4,"PEMA",69.04,53.4840163039389,25,0,8
"173",5,"PEMA",137.833333333333,101.801027869871,24,0,8
"174",6,"PEMA",50.68,39.2287309676637,25,0,8
"175",7,"PEMA",91.4,63.9029211643203,25,0,8
"176",8,"PEMA",172.68,76.5493958173414,25,0,8
"177",1,"GLOR",16.25,21.8864312535386,64,0,8
"178",2,"GLOR",7.93548387096774,14.3753785042022,62,0,8
"179",3,"GLOR",18.1587301587302,21.9237728896359,63,0,8
"180",4,"GLOR",9.171875,10.9305958935138,64,0,8
"181",5,"GLOR",8.57142857142857,14.0984033478449,63,0,8
"182",6,"GLOR",4.84375,9.58705931707979,64,0,8
"183",7,"GLOR",4.078125,8.35958662208027,64,0,8
"184",8,"GLOR",8.80645161290323,15.4228260786316,62,0,8
"185",1,"TATO",30.203125,25.875881819189,64,0,8
"186",2,"TATO",42.6612903225806,22.5388142795367,62,0,8
"187",3,"TATO",39.1904761904762,24.2419638449509,63,0,8
"188",4,"TATO",23.71875,23.5745819199071,64,0,8
"189",5,"TATO",69.8730158730159,37.6021156163097,63,0,8
"190",6,"TATO",20.78125,25.9348810592136,64,0,8
"191",7,"TATO",106.78125,42.7812704717217,64,0,8
"192",8,"TATO",70.0483870967742,33.4264190298508,62,0,8
"193",1,"PEMA",27.375,29.4527071170332,24,0,9
"194",2,"PEMA",80.96,81.694797875997,25,0,9
"195",3,"PEMA",107.333333333333,72.3461886659743,24,0,9
"196",4,"PEMA",69.04,53.4840163039389,25,0,9
"197",5,"PEMA",140.666666666667,104.792410390077,24,0,9
"198",6,"PEMA",50.68,39.2287309676637,25,0,9
"199",7,"PEMA",91.4,63.9029211643203,25,0,9
"200",8,"PEMA",172.68,76.5493958173414,25,0,9
"201",1,"GLOR",16.375,22.075987097958,64,0,9
"202",2,"GLOR",7.93548387096774,14.3753785042022,62,0,9
"203",3,"GLOR",18.1587301587302,21.9237728896359,63,0,9
"204",4,"GLOR",9.171875,10.9305958935138,64,0,9
"205",5,"GLOR",8.79365079365079,14.2457223122827,63,0,9
"206",6,"GLOR",4.84375,9.58705931707979,64,0,9
"207",7,"GLOR",4.078125,8.35958662208027,64,0,9
"208",8,"GLOR",8.80645161290323,15.4228260786316,62,0,9
"209",1,"TATO",30.34375,25.9322797864097,64,0,9
"210",2,"TATO",42.7258064516129,22.5171478224993,62,0,9
"211",3,"TATO",39.2539682539683,24.2845817632985,63,0,9
"212",4,"TATO",23.71875,23.5745819199071,64,0,9
"213",5,"TATO",71.1111111111111,37.9125101112953,63,0,9
"214",6,"TATO",20.8125,25.9589878003563,64,0,9
"215",7,"TATO",107.203125,42.9256203096502,64,0,9
"216",8,"TATO",70.1290322580645,33.4862261240608,62,0,9
"217",1,"PEMA",2.16666666666667,2.21980544910676,24,15,1
"218",2,"PEMA",5.52,5.56117493580868,25,15,1
"219",3,"PEMA",3.625,3.22776676060548,24,15,1
"220",4,"PEMA",3.68,3.49666507785156,25,15,1
"221",5,"PEMA",7.66666666666667,4.07181902163241,24,15,1
"222",6,"PEMA",4.76,2.91947483861967,25,15,1
"223",7,"PEMA",5.28,4.05709255502016,25,15,1
"224",8,"PEMA",9.48,3.68691379521319,25,15,1
"225",1,"GLOR",1.515625,1.72739079777969,64,15,1
"226",2,"GLOR",1.37096774193548,2.11345316816444,62,15,1
"227",3,"GLOR",1.17460317460317,1.39745947531621,63,15,1
"228",4,"GLOR",0.84375,1.65441928621591,64,15,1
"229",5,"GLOR",1.01587301587302,1.57082332523388,63,15,1
"230",6,"GLOR",0.421875,0.972718127494063,64,15,1
"231",7,"GLOR",0.5,0.942809041582063,64,15,1
"232",8,"GLOR",1.30645161290323,1.52130993681426,62,15,1
"233",1,"TATO",1.53125,2.26055724272115,64,15,1
"234",2,"TATO",5.75806451612903,3.71388835108085,62,15,1
"235",3,"TATO",2.31746031746032,2.10854939300808,63,15,1
"236",4,"TATO",2.265625,2.32476103909389,64,15,1
"237",5,"TATO",3.85714285714286,2.5894148227783,63,15,1
"238",6,"TATO",2.5,2.04706526287664,64,15,1
"239",7,"TATO",4.421875,2.2096806312369,64,15,1
"240",8,"TATO",8.83870967741935,3.05787641081834,62,15,1
"241",1,"PEMA",5.5,6.0648667500327,24,15,2
"242",2,"PEMA",12.88,11.0087843712798,25,15,2
"243",3,"PEMA",8.16666666666667,5.84336611348561,24,15,2
"244",4,"PEMA",6.92,5.29087264383989,25,15,2
"245",5,"PEMA",17.625,6.39845429703959,24,15,2
"246",6,"PEMA",9.24,4.99399639567351,25,15,2
"247",7,"PEMA",13.88,6.66658333281249,25,15,2
"248",8,"PEMA",19.28,5.89858740151685,25,15,2
"249",1,"GLOR",3.109375,2.72039438959145,64,15,2
"250",2,"GLOR",2.24193548387097,2.92913842796746,62,15,2
"251",3,"GLOR",2.6984126984127,2.37347520244268,63,15,2
"252",4,"GLOR",1.953125,2.55994597847267,64,15,2
"253",5,"GLOR",1.96825396825397,2.52706800633726,63,15,2
"254",6,"GLOR",0.875,2.08927723509336,64,15,2
"255",7,"GLOR",1.0625,1.67023427688529,64,15,2
"256",8,"GLOR",1.7741935483871,2.05194314015996,62,15,2
"257",1,"TATO",4,3.39467369916602,64,15,2
"258",2,"TATO",11.3870967741935,4.36962255454287,62,15,2
"259",3,"TATO",5.65079365079365,2.96842920424325,63,15,2
"260",4,"TATO",3.5,3.12186350534929,64,15,2
"261",5,"TATO",9.61904761904762,3.08183319674095,63,15,2
"262",6,"TATO",3.8125,3.01253992926182,64,15,2
"263",7,"TATO",13.328125,4.21657608598361,64,15,2
"264",8,"TATO",12.1451612903226,3.15629360450216,62,15,2
"265",1,"PEMA",8.375,7.99354359032556,24,15,3
"266",2,"PEMA",19.04,14.78309845736,25,15,3
"267",3,"PEMA",12.875,7.85915417508946,24,15,3
"268",4,"PEMA",10.8,6.60807586719967,25,15,3
"269",5,"PEMA",25.4583333333333,8.76742571244196,24,15,3
"270",6,"PEMA",11.24,6.13242746933599,25,15,3
"271",7,"PEMA",20.8,8.27647267862342,25,15,3
"272",8,"PEMA",26.56,8.06783738061198,25,15,3
"273",1,"GLOR",3.890625,3.06084949044781,64,15,3
"274",2,"GLOR",2.62903225806452,3.42236554642671,62,15,3
"275",3,"GLOR",3.6984126984127,3.09335875830433,63,15,3
"276",4,"GLOR",2.9375,3.11104024862608,64,15,3
"277",5,"GLOR",2.3968253968254,2.7855600151593,63,15,3
"278",6,"GLOR",1.203125,2.54595656704309,64,15,3
"279",7,"GLOR",1.484375,2.28863435747658,64,15,3
"280",8,"GLOR",2.24193548387097,2.5134750542284,62,15,3
"281",1,"TATO",6.15625,3.67409960895291,64,15,3
"282",2,"TATO",14.2903225806452,5.08416731346295,62,15,3
"283",3,"TATO",7.93650793650794,3.81369779015242,63,15,3
"284",4,"TATO",4.390625,4.00641227106176,64,15,3
"285",5,"TATO",12.8571428571429,4.36206943658457,63,15,3
"286",6,"TATO",4.421875,3.67663013192572,64,15,3
"287",7,"TATO",22.109375,5.53521823174262,64,15,3
"288",8,"TATO",13.8709677419355,4.00198258640554,62,15,3
"289",1,"PEMA",10.8333333333333,10.7487781577283,24,15,4
"290",2,"PEMA",22.88,17.0350618822866,25,15,4
"291",3,"PEMA",21.875,10.3726752240851,24,15,4
"292",4,"PEMA",16.92,9.15569039814402,25,15,4
"293",5,"PEMA",30.875,11.0347770411471,24,15,4
"294",6,"PEMA",13.48,7.16542624924249,25,15,4
"295",7,"PEMA",27.08,10.4758452324065,25,15,4
"296",8,"PEMA",28.12,8.85211839053229,25,15,4
"297",1,"GLOR",4.21875,3.23899234771733,64,15,4
"298",2,"GLOR",2.79032258064516,3.67149898709895,62,15,4
"299",3,"GLOR",4.3968253968254,3.42448339659256,63,15,4
"300",4,"GLOR",3.5,3.36650164612069,64,15,4
"301",5,"GLOR",2.84126984126984,3.1836596369706,63,15,4
"302",6,"GLOR",1.375,2.63974505743528,64,15,4
"303",7,"GLOR",1.78125,2.72826911813193,64,15,4
"304",8,"GLOR",2.29032258064516,2.6013054526853,62,15,4
"305",1,"TATO",7.234375,4.05416574903332,64,15,4
"306",2,"TATO",15.5161290322581,5.37676219068771,62,15,4
"307",3,"TATO",9.49206349206349,4.91499685253407,63,15,4
"308",4,"TATO",5.234375,4.74673551147239,64,15,4
"309",5,"TATO",15.9206349206349,5.55994194475837,63,15,4
"310",6,"TATO",4.671875,4.09434254466036,64,15,4
"311",7,"TATO",26.953125,7.24936710428562,64,15,4
"312",8,"TATO",14.9677419354839,4.49030920814702,62,15,4
"313",1,"PEMA",11.5,11.6020987606628,24,15,5
"314",2,"PEMA",25.12,18.9171879517015,25,15,5
"315",3,"PEMA",28.5,12.6525474321079,24,15,5
"316",4,"PEMA",23.64,11.750460983865,25,15,5
"317",5,"PEMA",35.0416666666667,13.043336351885,24,15,5
"318",6,"PEMA",15.16,8.1428905596641,25,15,5
"319",7,"PEMA",31.08,11.7293080216467,25,15,5
"320",8,"PEMA",33.24,10.4971424683101,25,15,5
"321",1,"GLOR",4.375,3.33095153000432,64,15,5
"322",2,"GLOR",2.98387096774194,3.94840468088839,62,15,5
"323",3,"GLOR",4.82539682539683,3.69192528905851,63,15,5
"324",4,"GLOR",3.78125,3.56557059259716,64,15,5
"325",5,"GLOR",3.11111111111111,3.49705457220839,63,15,5
"326",6,"GLOR",1.46875,2.66648064827387,64,15,5
"327",7,"GLOR",1.84375,2.72098692412695,64,15,5
"328",8,"GLOR",2.7258064516129,3.05238071470429,62,15,5
"329",1,"TATO",7.984375,4.43110286712548,64,15,5
"330",2,"TATO",16.1129032258065,5.4835217794074,62,15,5
"331",3,"TATO",10.4126984126984,5.26594328968312,63,15,5
"332",4,"TATO",5.875,5.01268232855266,64,15,5
"333",5,"TATO",18.5714285714286,6.31361632917884,63,15,5
"334",6,"TATO",4.90625,4.29365996243483,64,15,5
"335",7,"TATO",29.546875,8.10433880953175,64,15,5
"336",8,"TATO",16.8387096774194,5.05767894795237,62,15,5
"337",1,"PEMA",11.9166666666667,12.0178008067984,24,15,6
"338",2,"PEMA",26.2,19.7294196569489,25,15,6
"339",3,"PEMA",32.5,14.2523834772507,24,15,6
"340",4,"PEMA",28.56,13.750999963639,25,15,6
"341",5,"PEMA",38.1666666666667,13.7419278018095,24,15,6
"342",6,"PEMA",17.76,9.43080060228186,25,15,6
"343",7,"PEMA",33.08,12.6981625967434,25,15,6
"344",8,"PEMA",38.52,12.6165235570924,25,15,6
"345",1,"GLOR",4.453125,3.32823270468096,64,15,6
"346",2,"GLOR",3.09677419354839,4.11598115872695,62,15,6
"347",3,"GLOR",5.11111111111111,3.8231515082713,63,15,6
"348",4,"GLOR",4.046875,3.69654359149321,64,15,6
"349",5,"GLOR",3.34920634920635,3.67273621370265,63,15,6
"350",6,"GLOR",1.65625,2.85756445302194,64,15,6
"351",7,"GLOR",1.859375,2.71893529290127,64,15,6
"352",8,"GLOR",3.09677419354839,3.38613216855599,62,15,6
"353",1,"TATO",8.21875,4.50913974831578,64,15,6
"354",2,"TATO",16.6129032258065,5.70979841942614,62,15,6
"355",3,"TATO",10.9206349206349,5.43377011428436,63,15,6
"356",4,"TATO",6.1875,5.17280741067522,64,15,6
"357",5,"TATO",20.7777777777778,6.87079946619456,63,15,6
"358",6,"TATO",5.03125,4.49327098303498,64,15,6
"359",7,"TATO",30.015625,8.31424898058214,64,15,6
"360",8,"TATO",18.4032258064516,5.70435461333996,62,15,6
"361",1,"PEMA",12.6666666666667,12.7643071191461,24,15,7
"362",2,"PEMA",26.8,20.2072594216369,25,15,7
"363",3,"PEMA",35.4166666666667,15.7201523022456,24,15,7
"364",4,"PEMA",31.32,15.7234432191765,25,15,7
"365",5,"PEMA",40.375,14.5267743808818,24,15,7
"366",6,"PEMA",19.92,9.98715842135957,25,15,7
"367",7,"PEMA",33.8,13.003204733193,25,15,7
"368",8,"PEMA",43.04,14.3366662791599,25,15,7
"369",1,"GLOR",4.65625,3.442123514012,64,15,7
"370",2,"GLOR",3.16129032258065,4.15752743506852,62,15,7
"371",3,"GLOR",5.25396825396825,3.95118705710907,63,15,7
"372",4,"GLOR",4.09375,3.74894164959439,64,15,7
"373",5,"GLOR",3.47619047619048,3.84731637872067,63,15,7
"374",6,"GLOR",1.78125,2.98391853797483,64,15,7
"375",7,"GLOR",1.890625,2.70869960893204,64,15,7
"376",8,"GLOR",3.58064516129032,3.75717188328535,62,15,7
"377",1,"TATO",8.390625,4.64832172308134,64,15,7
"378",2,"TATO",17.1774193548387,5.90227573100962,62,15,7
"379",3,"TATO",11.2698412698413,5.74794872024163,63,15,7
"380",4,"TATO",6.25,5.22205335762105,64,15,7
"381",5,"TATO",22.8253968253968,7.61691598445088,63,15,7
"382",6,"TATO",5.234375,4.75007832015632,64,15,7
"383",7,"TATO",30.203125,8.38589081031584,64,15,7
"384",8,"TATO",20.241935483871,6.38308595872131,62,15,7
"385",1,"PEMA",13.7083333333333,13.8798545496284,24,15,8
"386",2,"PEMA",26.96,20.3643479312908,25,15,8
"387",3,"PEMA",37.875,16.5800102270908,24,15,8
"388",4,"PEMA",32.72,15.9935403627006,25,15,8
"389",5,"PEMA",42.25,15.3601687037837,24,15,8
"390",6,"PEMA",22.12,11.1142551107425,25,15,8
"391",7,"PEMA",34.52,13.4074606096755,25,15,8
"392",8,"PEMA",45.2,15.3432938662683,25,15,8
"393",1,"GLOR",4.78125,3.52077169571293,64,15,8
"394",2,"GLOR",3.2741935483871,4.36141560279292,62,15,8
"395",3,"GLOR",5.57142857142857,4.24155436251125,63,15,8
"396",4,"GLOR",4.171875,3.79872446219551,64,15,8
"397",5,"GLOR",3.65079365079365,4.1315416561779,63,15,8
"398",6,"GLOR",2.078125,3.04622945440571,64,15,8
"399",7,"GLOR",1.953125,2.73965405938037,64,15,8
"400",8,"GLOR",3.98387096774194,4.16264392449007,62,15,8
"401",1,"TATO",8.578125,4.776944256381,64,15,8
"402",2,"TATO",17.4516129032258,6.03182113530859,62,15,8
"403",3,"TATO",11.4603174603175,5.83876201202595,63,15,8
"404",4,"TATO",6.34375,5.33695933286314,64,15,8
"405",5,"TATO",24.2539682539683,8.28906830432797,63,15,8
"406",6,"TATO",5.84375,5.23182796061986,64,15,8
"407",7,"TATO",30.515625,8.46466453174139,64,15,8
"408",8,"TATO",21.4677419354839,6.79854792098653,62,15,8
"409",1,"PEMA",14.2916666666667,14.1865802070483,24,15,9
"410",2,"PEMA",26.96,20.3643479312908,25,15,9
"411",3,"PEMA",37.875,16.5800102270908,24,15,9
"412",4,"PEMA",32.72,15.9935403627006,25,15,9
