"sp","param","est","model.x","t","mean","sd","2.5%","50%","97.5%","Rhat","n.eff","model.y","g"
"69","PEMA","N[8]",1976.176,"CAM-SC_noinfo_multigrid_t60",60,1604.602,320.096,868,1701,1989,1.09,27,"CAM-SC_noinfo_multigrid",8
"70","PEMA","psi[1]",0.424,"CAM-SC_noinfo_multigrid_t60",60,0.433,0.106,0.223,0.441,0.63,1.08,67,"CAM-SC_noinfo_multigrid",1
"71","PEMA","psi[2]",0.656,"CAM-SC_noinfo_multigrid_t60",60,0.585,0.131,0.313,0.608,0.794,1.06,52,"CAM-SC_noinfo_multigrid",2
"72","PEMA","psi[3]",0.874,"CAM-SC_noinfo_multigrid_t60",60,0.776,0.149,0.426,0.821,0.959,1.19,35,"CAM-SC_noinfo_multigrid",3
"73","PEMA","psi[4]",0.794,"CAM-SC_noinfo_multigrid_t60",60,0.72,0.146,0.378,0.749,0.95,1.11,44,"CAM-SC_noinfo_multigrid",4
"74","PEMA","psi[5]",0.936,"CAM-SC_noinfo_multigrid_t60",60,0.8,0.162,0.435,0.851,0.992,1.23,23,"CAM-SC_noinfo_multigrid",5
"75","PEMA","psi[6]",0.587,"CAM-SC_noinfo_multigrid_t60",60,0.534,0.11,0.29,0.559,0.709,1.07,69,"CAM-SC_noinfo_multigrid",6
"76","PEMA","psi[7]",0.721,"CAM-SC_noinfo_multigrid_t60",60,0.647,0.143,0.345,0.674,0.886,1.1,47,"CAM-SC_noinfo_multigrid",7
"77","PEMA","psi[8]",0.989,"CAM-SC_noinfo_multigrid_t60",60,0.802,0.16,0.431,0.85,0.995,1.09,26,"CAM-SC_noinfo_multigrid",8
"78","PEMA","sigma",9.282,"CAM-SC_noinfo_multigrid_t60",60,10.808,3.529,7.637,9.422,20.475,1.11,22,"CAM-SC_noinfo_multigrid",NA
"79","PEMA","D[1]",139.963,"CAM-SC_noinfo_multigrid_t1440",1440,112.831,34.842,50.281,117.66,178.628,1.94,44,"CAM-SC_noinfo_multigrid",1
"80","PEMA","D[2]",155.299,"CAM-SC_noinfo_multigrid_t1440",1440,126.797,35.958,58.943,132.958,185.714,2.12,40,"CAM-SC_noinfo_multigrid",2
"81","PEMA","D[3]",191.149,"CAM-SC_noinfo_multigrid_t1440",1440,156.357,41.198,72.778,166.367,217.494,2.36,37,"CAM-SC_noinfo_multigrid",3
"82","PEMA","D[4]",180.99,"CAM-SC_noinfo_multigrid_t1440",1440,148.154,38.871,72.103,157.199,204.837,1.93,45,"CAM-SC_noinfo_multigrid",4
"83","PEMA","D[5]",200.251,"CAM-SC_noinfo_multigrid_t1440",1440,161.26,42.884,74.578,173.903,220.472,2.59,32,"CAM-SC_noinfo_multigrid",5
"84","PEMA","D[6]",147.721,"CAM-SC_noinfo_multigrid_t1440",1440,125.558,32.904,59.168,135.433,174.241,2.16,63,"CAM-SC_noinfo_multigrid",6
"85","PEMA","D[7]",164.805,"CAM-SC_noinfo_multigrid_t1440",1440,136.893,38.538,63.78,144.994,201.35,1.92,33,"CAM-SC_noinfo_multigrid",7
"86","PEMA","D[8]",184.406,"CAM-SC_noinfo_multigrid_t1440",1440,152.612,40.072,73.619,162.767,212.036,2.34,35,"CAM-SC_noinfo_multigrid",8
"87","PEMA","lam0",0.004,"CAM-SC_noinfo_multigrid_t1440",1440,0.01,0.007,0.003,0.009,0.028,4.17,21,"CAM-SC_noinfo_multigrid",NA
"88","PEMA","N[1]",1244.271,"CAM-SC_noinfo_multigrid_t1440",1440,1003.07,309.749,447,1046,1588,1.94,44,"CAM-SC_noinfo_multigrid",1
"89","PEMA","N[2]",1380.605,"CAM-SC_noinfo_multigrid_t1440",1440,1127.229,319.663,524,1182,1651,2.12,40,"CAM-SC_noinfo_multigrid",2
"90","PEMA","N[3]",1699.315,"CAM-SC_noinfo_multigrid_t1440",1440,1390.009,366.249,647,1479,1933.525,2.36,37,"CAM-SC_noinfo_multigrid",3
"91","PEMA","N[4]",1608.998,"CAM-SC_noinfo_multigrid_t1440",1440,1317.085,345.567,641,1397.5,1821,1.93,45,"CAM-SC_noinfo_multigrid",4
"92","PEMA","N[5]",1780.233,"CAM-SC_noinfo_multigrid_t1440",1440,1433.603,381.24,663,1546,1960,2.59,32,"CAM-SC_noinfo_multigrid",5
"93","PEMA","N[6]",1313.236,"CAM-SC_noinfo_multigrid_t1440",1440,1116.211,292.516,526,1204,1549,2.16,63,"CAM-SC_noinfo_multigrid",6
"94","PEMA","N[7]",1465.12,"CAM-SC_noinfo_multigrid_t1440",1440,1216.977,342.606,567,1289,1790,1.92,33,"CAM-SC_noinfo_multigrid",7
"95","PEMA","N[8]",1639.37,"CAM-SC_noinfo_multigrid_t1440",1440,1356.722,356.237,654.475,1447,1885,2.34,35,"CAM-SC_noinfo_multigrid",8
"96","PEMA","psi[1]",0.623,"CAM-SC_noinfo_multigrid_t1440",1440,0.501,0.155,0.223,0.523,0.793,1.93,43,"CAM-SC_noinfo_multigrid",1
"97","PEMA","psi[2]",0.678,"CAM-SC_noinfo_multigrid_t1440",1440,0.564,0.16,0.262,0.591,0.825,2.12,41,"CAM-SC_noinfo_multigrid",2
