"sp","g","t","m","a","sa","N","SE","LCI","UCI","model"
"TOWNSENDS CHIPMUNK",8,5,86.58,9.59931088596881,78400,54.2982110763411,10.2621432224873,37.6113016908395,78.3885585860746,"ste"
"TOWNSENDS CHIPMUNK",8,15,86.58,9.59931088596881,78400,121.436445317498,18.3048678972265,90.5231819652963,162.906450383097,"ste"
"TOWNSENDS CHIPMUNK",8,30,86.58,9.59931088596881,78400,181.059505508947,25.1064085100263,138.149658991106,237.297325049894,"ste"
"TOWNSENDS CHIPMUNK",8,60,86.58,9.59931088596881,78400,266.987833911767,35.9949528223501,205.233322940886,347.324218287053,"ste"
"TOWNSENDS CHIPMUNK",8,1440,86.58,9.59931088596881,78400,67.9918455724835,4.20054955394665,60.2446577477461,76.7352863669541,"tte"
"FLYING SQUIRREL",1,1,87.22,9.59931088596881,78400,1.26950641134543,1.27033660312634,0.248093783103872,6.49611815453024,"ste"
"FLYING SQUIRREL",1,5,87.22,9.59931088596881,78400,9.15777820619976,3.46321883804845,4.47279114425568,18.7500151402449,"ste"
"FLYING SQUIRREL",1,15,87.22,9.59931088596881,78400,13.5980191438428,4.30050296118792,7.42437261462002,24.9052861749151,"ste"
"FLYING SQUIRREL",1,30,87.22,9.59931088596881,78400,32.1033549381071,6.84379030344948,21.2373555961746,48.5288949283179,"ste"
"FLYING SQUIRREL",1,60,87.22,9.59931088596881,78400,62.312147943971,10.2446753469393,45.243594267171,85.8199673187484,"ste"
"FLYING SQUIRREL",1,1440,87.22,9.59931088596881,78400,43.4245370391826,5.85536240463017,33.3790334440336,56.4932600648566,"tte"
"FLYING SQUIRREL",2,1,87.22,9.59931088596881,78400,NA,NA,NA,NA,"ste"
"FLYING SQUIRREL",2,5,87.22,9.59931088596881,78400,3.82663048897434,2.20981647618955,1.33710655026508,10.9513343542031,"ste"
"FLYING SQUIRREL",2,15,87.22,9.59931088596881,78400,16.6052985781891,4.79116393242648,9.53973749672761,28.9039337786176,"ste"
"FLYING SQUIRREL",2,30,87.22,9.59931088596881,78400,29.0660151674837,6.49866109526214,18.8531584707953,44.8112309152384,"ste"
"FLYING SQUIRREL",2,60,87.22,9.59931088596881,78400,43.7403765717837,8.26393380797683,30.3018286927226,63.138781558122,"ste"
"FLYING SQUIRREL",2,1440,87.22,9.59931088596881,78400,39.9828743592742,6.96012388369458,28.4970986425201,56.0980000835669,"tte"
"FLYING SQUIRREL",3,1,87.22,9.59931088596881,78400,2.52056679481335,1.78251440837215,0.723477137316374,8.78155872441536,"ste"
"FLYING SQUIRREL",3,5,87.22,9.59931088596881,78400,11.7422017427604,3.91372986305808,6.21545797066832,22.1832892151084,"ste"
