"mean","sd","X2.5.","X50.","X97.5.","overlap0","f","Rhat","n.eff","param","sp","grid","mode"
"deviance23",1518.808,25.034,1473.566,1517.858,1570.962,FALSE,1,1.001,1898,"deviance","TATO","7",NA
"lam024",0.104,0.01,0.085,0.104,0.126,FALSE,1,1.001,1399,"lam0","TATO","8",NA
"sigma24",32.843,1.394,30.263,32.796,35.795,FALSE,1,1,4910,"sigma","TATO","8",NA
"psim24",0.251,0.024,0.207,0.25,0.3,FALSE,1,1.004,568,"psim","TATO","8",NA
"N24",265.475,20.864,227.975,265,309,FALSE,1,1.006,448,"N","TATO","8","266.0172"
"D24",8.308,0.653,7.134,8.293,9.67,FALSE,1,1.006,448,"D","TATO","8","8.324662"
"deviance24",1375.402,31.657,1316.09,1374.264,1439.446,FALSE,1,1,6000,"deviance","TATO","8",NA
"lam025",0.101,0.012,0.08,0.101,0.125,FALSE,1,1.001,1387,"lam0","TATO","9",NA
"sigma25",31.514,1.601,28.528,31.457,34.879,FALSE,1,1.006,434,"sigma","TATO","9",NA
"psim25",0.236,0.024,0.191,0.235,0.285,FALSE,1,1.001,5889,"psim","TATO","9",NA
"N25",235.352,19.493,200,235,276,FALSE,1,1.001,6000,"N","TATO","9","231.9405"
"D25",8.204,0.679,6.972,8.192,9.621,FALSE,1,1.001,6000,"D","TATO","9","8.084884"
"deviance25",1115.385,32.103,1055.883,1114.444,1179.752,FALSE,1,1.003,695,"deviance","TATO","9",NA
