"param","mean","sd","2.5%","50%","97.5%","Rhat","n.eff","model","g","sp","t","mode"
"N",1115.796,323.81,493,1128,1701,2.39,34,"CAM-SC_noinfo_separate",8,"GLSA",15,1297.007
"psi",0.558,0.162,0.245,0.563,0.85,2.39,33,"CAM-SC_noinfo_separate",8,"GLSA",15,0.653
"sigma",11.242,2.143,8.05,10.819,16.324,1.79,109,"CAM-SC_noinfo_separate",8,"GLSA",15,10.781
"D",6.105,3.456,0.819,5.508,15.69,1.75,18,"CAM-SC_noinfo_separate",1,"GLSA",60,4.541
"lam0",0.278,0.105,0.101,0.273,0.515,1.27,118,"CAM-SC_noinfo_separate",1,"GLSA",60,0.273
"N",670.668,379.608,90,605,1723.525,1.75,18,"CAM-SC_noinfo_separate",1,"GLSA",60,498.839
"psi",0.336,0.19,0.046,0.302,0.862,1.75,18,"CAM-SC_noinfo_separate",1,"GLSA",60,0.257
"sigma",27.724,10.891,15.553,24.631,62.269,1.44,33,"CAM-SC_noinfo_separate",1,"GLSA",60,21.536
"D",2.181,0.935,1.001,1.93,4.643,1.14,74,"CAM-SC_noinfo_separate",2,"GLSA",60,1.593
"lam0",0.639,0.149,0.387,0.629,0.961,1.01,421,"CAM-SC_noinfo_separate",2,"GLSA",60,0.62
"N",239.612,102.698,110,212,510,1.14,74,"CAM-SC_noinfo_separate",2,"GLSA",60,174.998
"psi",0.12,0.052,0.055,0.107,0.257,1.14,75,"CAM-SC_noinfo_separate",2,"GLSA",60,0.083
"sigma",22.877,3.492,15.85,23.036,29.58,1.09,142,"CAM-SC_noinfo_separate",2,"GLSA",60,24.62
"D",7.55,5.345,0.91,5.826,17.888,4.45,19,"CAM-SC_noinfo_separate",3,"GLSA",60,3.075
"lam0",0.419,0.159,0.178,0.392,0.798,1.21,112,"CAM-SC_noinfo_separate",3,"GLSA",60,0.347
"N",829.373,587.101,100,640,1965,4.45,19,"CAM-SC_noinfo_separate",3,"GLSA",60,337.826
"psi",0.415,0.294,0.05,0.321,0.982,4.46,21,"CAM-SC_noinfo_separate",3,"GLSA",60,0.169
"sigma",22.916,8.617,12.32,21.29,47.274,1.97,47,"CAM-SC_noinfo_separate",3,"GLSA",60,16.001
"D",15.514,2.174,9.604,16.113,18.07,1.09,25,"CAM-SC_noinfo_separate",4,"GLSA",60,17.119
"lam0",0.651,0.149,0.402,0.637,0.998,1.01,270,"CAM-SC_noinfo_separate",4,"GLSA",60,0.647
"N",1704.254,238.808,1055,1770,1985,1.09,25,"CAM-SC_noinfo_separate",4,"GLSA",60,1880.523
"psi",0.852,0.119,0.528,0.885,0.992,1.09,26,"CAM-SC_noinfo_separate",4,"GLSA",60,0.951
"sigma",9.107,1.193,7.189,8.936,11.774,1.01,180,"CAM-SC_noinfo_separate",4,"GLSA",60,8.713
"D",6.871,2.634,3.295,6.309,12.931,1.02,20,"CAM-SC_noinfo_separate",5,"GLSA",60,4.954
"lam0",0.711,0.173,0.444,0.689,1.096,1.06,319,"CAM-SC_noinfo_separate",5,"GLSA",60,0.597
"N",754.775,289.351,362,693,1420.525,1.02,20,"CAM-SC_noinfo_separate",5,"GLSA",60,544.145
"psi",0.377,0.145,0.181,0.346,0.71,1.02,22,"CAM-SC_noinfo_separate",5,"GLSA",60,0.277
"sigma",13.025,2.477,8.408,12.969,18.027,1.02,84,"CAM-SC_noinfo_separate",5,"GLSA",60,13.874
"D",4.704,2.183,1.766,4.242,10.028,1.61,32,"CAM-SC_noinfo_separate",6,"GLSA",60,3.7
"lam0",0.493,0.126,0.277,0.483,0.773,1.03,486,"CAM-SC_noinfo_separate",6,"GLSA",60,0.463
"N",516.778,239.798,194,466,1101.525,1.61,32,"CAM-SC_noinfo_separate",6,"GLSA",60,406.429
"psi",0.259,0.12,0.097,0.234,0.55,1.61,33,"CAM-SC_noinfo_separate",6,"GLSA",60,0.208
"sigma",14.723,3.202,8.601,14.781,20.97,1.44,95,"CAM-SC_noinfo_separate",6,"GLSA",60,15.856
"D",1.825,1.211,0.519,1.511,5.54,1.31,55,"CAM-SC_noinfo_separate",7,"GLSA",60,1.038
"lam0",0.438,0.136,0.216,0.422,0.746,1.03,320,"CAM-SC_noinfo_separate",7,"GLSA",60,0.36
"N",200.447,133.071,57,166,608.525,1.31,55,"CAM-SC_noinfo_separate",7,"GLSA",60,114.056
"psi",0.101,0.067,0.028,0.083,0.305,1.31,56,"CAM-SC_noinfo_separate",7,"GLSA",60,0.056
"sigma",24.846,5.524,13.33,24.336,37.004,1.1,103,"CAM-SC_noinfo_separate",7,"GLSA",60,23.536
"D",14.052,3.64,5.335,15.403,18.006,1.95,12,"CAM-SC_noinfo_separate",8,"GLSA",60,17.514
"lam0",0.653,0.167,0.384,0.631,1.041,1.09,243,"CAM-SC_noinfo_separate",8,"GLSA",60,0.613
"N",1543.562,399.82,586,1692,1978,1.95,12,"CAM-SC_noinfo_separate",8,"GLSA",60,1923.909
"psi",0.772,0.2,0.294,0.846,0.989,1.96,12,"CAM-SC_noinfo_separate",8,"GLSA",60,0.961
"sigma",10.057,2.183,7.08,9.588,15.574,1.37,85,"CAM-SC_noinfo_separate",8,"GLSA",60,9.341
"D",5.652,6.333,0.064,2.157,17.988,14.93,23,"CAM-SC_noinfo_separate",1,"GLSA",1440,0.18
"lam0",0.084,0.088,0.009,0.057,0.377,1.8,32,"CAM-SC_noinfo_separate",1,"GLSA",1440,0.034
"N",620.927,695.72,7,237,1976,14.93,23,"CAM-SC_noinfo_separate",1,"GLSA",1440,19.807
"psi",0.311,0.348,0.004,0.12,0.987,14.96,20,"CAM-SC_noinfo_separate",1,"GLSA",1440,0.01
"sigma",84.201,46.415,22.886,77.086,181.301,3.24,34,"CAM-SC_noinfo_separate",1,"GLSA",1440,33.198
"D",2.212,1.637,0.592,1.766,7.701,1.07,47,"CAM-SC_noinfo_separate",2,"GLSA",1440,1.326
"lam0",0.318,0.098,0.153,0.308,0.536,1.01,380,"CAM-SC_noinfo_separate",2,"GLSA",1440,0.282
"N",242.969,179.821,65,194,846,1.07,47,"CAM-SC_noinfo_separate",2,"GLSA",1440,145.671
"psi",0.122,0.09,0.032,0.097,0.424,1.07,50,"CAM-SC_noinfo_separate",2,"GLSA",1440,0.07
"sigma",28.344,7.048,15.345,28.155,43.298,1.03,120,"CAM-SC_noinfo_separate",2,"GLSA",1440,29.61
"D",4.296,5.059,0.355,2.003,16.787,6.06,19,"CAM-SC_noinfo_separate",3,"GLSA",1440,0.912
"lam0",0.177,0.092,0.052,0.163,0.416,1.38,93,"CAM-SC_noinfo_separate",3,"GLSA",1440,0.084
"N",471.92,555.777,39,220,1844,6.06,19,"CAM-SC_noinfo_separate",3,"GLSA",1440,100.15
"psi",0.236,0.278,0.02,0.11,0.923,6.06,22,"CAM-SC_noinfo_separate",3,"GLSA",1440,0.048
"sigma",48.351,23.583,17.562,43.046,110.884,1.93,41,"CAM-SC_noinfo_separate",3,"GLSA",1440,28.342
"D",11.626,4.734,1.511,12.403,17.87,1.33,10,"CAM-SC_noinfo_separate",4,"GLSA",1440,15.879
"lam0",0.188,0.096,0.031,0.179,0.398,1.07,80,"CAM-SC_noinfo_separate",4,"GLSA",1440,0.149
"N",1277.088,520.026,166,1362.5,1963,1.33,10,"CAM-SC_noinfo_separate",4,"GLSA",1440,1744.285
"psi",0.638,0.26,0.085,0.68,0.981,1.34,10,"CAM-SC_noinfo_separate",4,"GLSA",1440,0.876
"sigma",21.839,18.04,9.789,14.824,81.328,1.42,35,"CAM-SC_noinfo_separate",4,"GLSA",1440,13.545
"D",9.534,4.82,1.857,8.366,17.97,1.91,14,"CAM-SC_noinfo_separate",5,"GLSA",1440,4.649
"lam0",0.243,0.094,0.086,0.237,0.447,1.11,151,"CAM-SC_noinfo_separate",5,"GLSA",1440,0.245
"N",1047.342,529.495,204,919,1974,1.91,14,"CAM-SC_noinfo_separate",5,"GLSA",1440,510.671
"psi",0.524,0.265,0.102,0.459,0.986,1.91,14,"CAM-SC_noinfo_separate",5,"GLSA",1440,0.262
"sigma",17.952,9.144,8.88,15.96,45.938,1.76,52,"CAM-SC_noinfo_separate",5,"GLSA",1440,11.973
"D",5.619,2.173,2.148,5.325,10.61,1.18,32,"CAM-SC_noinfo_separate",6,"GLSA",1440,3.677
"lam0",0.286,0.098,0.129,0.275,0.505,1.04,301,"CAM-SC_noinfo_separate",6,"GLSA",1440,0.23
"N",617.269,238.736,236,585,1165.525,1.18,32,"CAM-SC_noinfo_separate",6,"GLSA",1440,403.972
"psi",0.309,0.119,0.119,0.293,0.583,1.18,35,"CAM-SC_noinfo_separate",6,"GLSA",1440,0.207
"sigma",15.59,3.041,10.403,15.352,22.154,1.1,161,"CAM-SC_noinfo_separate",6,"GLSA",1440,15.469
"D",1.278,2.096,0.018,0.519,8.635,1.21,40,"CAM-SC_noinfo_separate",7,"GLSA",1440,0.032
"lam0",0.251,0.103,0.094,0.235,0.473,1.02,203,"CAM-SC_noinfo_separate",7,"GLSA",1440,0.195
"N",140.377,230.216,2,57,948.525,1.21,40,"CAM-SC_noinfo_separate",7,"GLSA",1440,3.544
"psi",0.071,0.115,0.001,0.029,0.478,1.21,33,"CAM-SC_noinfo_separate",7,"GLSA",1440,0.003
"sigma",53.567,26.936,13.224,48.611,113.821,1.22,40,"CAM-SC_noinfo_separate",7,"GLSA",1440,37.78
"D",9.734,5.222,1.525,9.486,17.906,3.45,8,"CAM-SC_noinfo_separate",8,"GLSA",1440,17.734
"lam0",0.189,0.091,0.034,0.18,0.393,1.11,78,"CAM-SC_noinfo_separate",8,"GLSA",1440,0.167
"N",1069.24,573.683,167.475,1042,1967,3.45,8,"CAM-SC_noinfo_separate",8,"GLSA",1440,1948.044
"psi",0.535,0.287,0.084,0.52,0.983,3.45,8,"CAM-SC_noinfo_separate",8,"GLSA",1440,0.975
"sigma",23.188,11.661,10.728,19.721,56.729,1.47,32,"CAM-SC_noinfo_separate",8,"GLSA",1440,14.114
"D",16.908,1.054,13.919,17.132,18.152,1.09,47,"CAM-SC_info_separate",1,"GLSA",0,17.913
"lam0",12.276,2.523,8.438,12.087,17.895,1.09,60,"CAM-SC_info_separate",1,"GLSA",0,12.118
"N",1857.364,115.756,1529,1882,1994,1.09,47,"CAM-SC_info_separate",1,"GLSA",0,1967.74
"psi",0.928,0.058,0.763,0.941,0.997,1.09,45,"CAM-SC_info_separate",1,"GLSA",0,0.983
"sigma",5.253,0.369,4.565,5.257,6.011,1.02,45,"CAM-SC_info_separate",1,"GLSA",0,5.318
"D",9.003,0,9.003,9.003,9.003,NA,0,"CAM-SC_info_separate",2,"GLSA",0,9.003
"lam0",0.288,0,0.288,0.288,0.288,NA,0,"CAM-SC_info_separate",2,"GLSA",0,0.288
"N",989,0,989,989,989,NA,0,"CAM-SC_info_separate",2,"GLSA",0,988.93
"psi",0.494,0.011,0.472,0.494,0.517,1,5268,"CAM-SC_info_separate",2,"GLSA",0,0.495
"sigma",0.788,0,0.788,0.788,0.788,NA,0,"CAM-SC_info_separate",2,"GLSA",0,0.788
"D",9.003,0,9.003,9.003,9.003,NA,0,"CAM-SC_info_separate",3,"GLSA",0,9.003
"lam0",0.288,0,0.288,0.288,0.288,NA,0,"CAM-SC_info_separate",3,"GLSA",0,0.288
"N",989,0,989,989,989,NA,0,"CAM-SC_info_separate",3,"GLSA",0,988.93
"psi",0.494,0.011,0.472,0.494,0.517,1,5268,"CAM-SC_info_separate",3,"GLSA",0,0.495
"sigma",0.788,0,0.788,0.788,0.788,NA,0,"CAM-SC_info_separate",3,"GLSA",0,0.788
"D",17.412,0.782,15.121,17.651,18.188,1.11,48,"CAM-SC_info_separate",4,"GLSA",0,18.176
"lam0",5.171,1.075,3.684,5.015,8.302,1.09,75,"CAM-SC_info_separate",4,"GLSA",0,5.053
"N",1912.722,85.861,1661,1939,1998,1.11,48,"CAM-SC_info_separate",4,"GLSA",0,1996.616
"psi",0.956,0.043,0.829,0.969,0.999,1.12,50,"CAM-SC_info_separate",4,"GLSA",0,0.991
"sigma",4.676,0.346,4.004,4.676,5.345,1.04,111,"CAM-SC_info_separate",4,"GLSA",0,4.7
"D",9.003,0,9.003,9.003,9.003,NA,0,"CAM-SC_info_separate",5,"GLSA",0,9.003
"lam0",0.288,0,0.288,0.288,0.288,NA,0,"CAM-SC_info_separate",5,"GLSA",0,0.288
"N",989,0,989,989,989,NA,0,"CAM-SC_info_separate",5,"GLSA",0,988.93
"psi",0.494,0.011,0.472,0.494,0.517,1,5268,"CAM-SC_info_separate",5,"GLSA",0,0.495
"sigma",0.788,0,0.788,0.788,0.788,NA,0,"CAM-SC_info_separate",5,"GLSA",0,0.788
"D",16.943,1.167,13.409,17.242,18.152,1.2,55,"CAM-SC_info_separate",6,"GLSA",0,18.019
"lam0",7.719,3.245,3.741,6.918,16.233,2.32,72,"CAM-SC_info_separate",6,"GLSA",0,6.281
"N",1861.177,128.15,1473,1894,1994,1.2,55,"CAM-SC_info_separate",6,"GLSA",0,1979.369
"psi",0.93,0.064,0.736,0.947,0.997,1.2,54,"CAM-SC_info_separate",6,"GLSA",0,0.988
"sigma",3.672,0.389,3.028,3.652,4.619,1.15,77,"CAM-SC_info_separate",6,"GLSA",0,3.702
"D",16.64,1.597,12.203,17.228,18.17,1.65,21,"CAM-SC_info_separate",7,"GLSA",0,18.157
"lam0",4.916,1.289,3.058,4.709,8.071,1.07,75,"CAM-SC_info_separate",7,"GLSA",0,4.824
"N",1827.902,175.467,1340.475,1892.5,1996,1.65,21,"CAM-SC_info_separate",7,"GLSA",0,1994.599
"psi",0.913,0.088,0.669,0.946,0.998,1.66,22,"CAM-SC_info_separate",7,"GLSA",0,0.997
"sigma",3.76,0.325,3.164,3.751,4.44,1.12,126,"CAM-SC_info_separate",7,"GLSA",0,3.825
"D",9.003,0,9.003,9.003,9.003,NA,0,"CAM-SC_info_separate",8,"GLSA",0,9.003
"lam0",0.288,0,0.288,0.288,0.288,NA,0,"CAM-SC_info_separate",8,"GLSA",0,0.288
"N",989,0,989,989,989,NA,0,"CAM-SC_info_separate",8,"GLSA",0,988.93
"psi",0.494,0.011,0.472,0.494,0.517,1,5268,"CAM-SC_info_separate",8,"GLSA",0,0.495
"sigma",0.788,0,0.788,0.788,0.788,NA,0,"CAM-SC_info_separate",8,"GLSA",0,0.788
"D",17.548,0.599,15.871,17.706,18.179,1.07,75,"CAM-SC_info_separate",1,"GLSA",15,17.981
"lam0",1.335,0.227,0.968,1.308,1.865,1.01,310,"CAM-SC_info_separate",1,"GLSA",15,1.315
"N",1927.595,65.76,1743.475,1945,1997,1.07,75,"CAM-SC_info_separate",1,"GLSA",15,1975.268
"psi",0.963,0.033,0.871,0.972,0.998,1.07,73,"CAM-SC_info_separate",1,"GLSA",15,0.997
"sigma",5.985,0.461,5.139,5.977,6.952,1.01,315,"CAM-SC_info_separate",1,"GLSA",15,6.2
"D",9.003,0,9.003,9.003,9.003,NA,0,"CAM-SC_info_separate",2,"GLSA",15,9.003
"lam0",0.288,0,0.288,0.288,0.288,NA,0,"CAM-SC_info_separate",2,"GLSA",15,0.288
"N",989,0,989,989,989,NA,0,"CAM-SC_info_separate",2,"GLSA",15,988.93
"psi",0.494,0.011,0.472,0.494,0.517,1,5268,"CAM-SC_info_separate",2,"GLSA",15,0.495
"sigma",0.788,0,0.788,0.788,0.788,NA,0,"CAM-SC_info_separate",2,"GLSA",15,0.788
"D",9.003,0,9.003,9.003,9.003,NA,0,"CAM-SC_info_separate",3,"GLSA",15,9.003
"lam0",0.288,0,0.288,0.288,0.288,NA,0,"CAM-SC_info_separate",3,"GLSA",15,0.288
"N",989,0,989,989,989,NA,0,"CAM-SC_info_separate",3,"GLSA",15,988.93
"psi",0.494,0.011,0.472,0.494,0.517,1,5268,"CAM-SC_info_separate",3,"GLSA",15,0.495
"sigma",0.788,0,0.788,0.788,0.788,NA,0,"CAM-SC_info_separate",3,"GLSA",15,0.788
"D",17.311,0.88,14.811,17.579,18.179,1.1,36,"CAM-SC_info_separate",4,"GLSA",15,18.001
"lam0",1.548,0.276,1.112,1.512,2.203,1.02,295,"CAM-SC_info_separate",4,"GLSA",15,1.521
"N",1901.642,96.623,1627,1931,1997,1.1,36,"CAM-SC_info_separate",4,"GLSA",15,1977.391
"psi",0.95,0.049,0.813,0.965,0.998,1.1,35,"CAM-SC_info_separate",4,"GLSA",15,0.99
"sigma",5.152,0.416,4.398,5.133,6.024,1.02,289,"CAM-SC_info_separate",4,"GLSA",15,4.923
"D",9.003,0,9.003,9.003,9.003,NA,0,"CAM-SC_info_separate",5,"GLSA",15,9.003
"lam0",0.288,0,0.288,0.288,0.288,NA,0,"CAM-SC_info_separate",5,"GLSA",15,0.288
"N",989,0,989,989,989,NA,0,"CAM-SC_info_separate",5,"GLSA",15,988.93
"psi",0.494,0.011,0.472,0.494,0.517,1,5268,"CAM-SC_info_separate",5,"GLSA",15,0.495
"sigma",0.788,0,0.788,0.788,0.788,NA,0,"CAM-SC_info_separate",5,"GLSA",15,0.788
"D",16.717,1.209,13.864,17.051,18.148,1.11,39,"CAM-SC_info_separate",6,"GLSA",15,17.625
"lam0",1.238,0.327,0.782,1.176,2.06,1.03,226,"CAM-SC_info_separate",6,"GLSA",15,1.055
"N",1836.353,132.857,1523,1873,1993.525,1.11,39,"CAM-SC_info_separate",6,"GLSA",15,1936.112
"psi",0.918,0.067,0.76,0.936,0.996,1.11,37,"CAM-SC_info_separate",6,"GLSA",15,0.988
"sigma",4.42,0.417,3.597,4.429,5.221,1.04,341,"CAM-SC_info_separate",6,"GLSA",15,4.521
"D",17.169,0.958,14.738,17.46,18.188,1.01,38,"CAM-SC_info_separate",7,"GLSA",15,18.192
"lam0",1.273,0.33,0.798,1.218,2.068,1.02,278,"CAM-SC_info_separate",7,"GLSA",15,1.158
"N",1886.008,105.199,1619,1918,1998,1.01,38,"CAM-SC_info_separate",7,"GLSA",15,1998.401
"psi",0.943,0.053,0.808,0.959,0.999,1.01,38,"CAM-SC_info_separate",7,"GLSA",15,0.999
"sigma",4.221,0.418,3.466,4.196,5.135,1.02,321,"CAM-SC_info_separate",7,"GLSA",15,4.279
"D",9.003,0,9.003,9.003,9.003,NA,0,"CAM-SC_info_separate",8,"GLSA",15,9.003
"lam0",0.288,0,0.288,0.288,0.288,NA,0,"CAM-SC_info_separate",8,"GLSA",15,0.288
"N",989,0,989,989,989,NA,0,"CAM-SC_info_separate",8,"GLSA",15,988.93
"psi",0.494,0.011,0.472,0.494,0.517,1,5268,"CAM-SC_info_separate",8,"GLSA",15,0.495
"sigma",0.788,0,0.788,0.788,0.788,NA,0,"CAM-SC_info_separate",8,"GLSA",15,0.788
"D",17.513,0.672,15.671,17.742,18.188,1.11,56,"CAM-SC_info_separate",1,"GLSA",60,18.183
"lam0",1.008,0.158,0.741,0.991,1.352,1,543,"CAM-SC_info_separate",1,"GLSA",60,0.951
"N",1923.815,73.813,1721.475,1949,1998,1.11,56,"CAM-SC_info_separate",1,"GLSA",60,1997.396
"psi",0.961,0.037,0.86,0.974,0.999,1.11,56,"CAM-SC_info_separate",1,"GLSA",60,0.996
"sigma",6.195,0.504,5.217,6.193,7.201,1.01,373,"CAM-SC_info_separate",1,"GLSA",60,6.241
"D",9.003,0,9.003,9.003,9.003,NA,0,"CAM-SC_info_separate",2,"GLSA",60,9.003
"lam0",0.288,0,0.288,0.288,0.288,NA,0,"CAM-SC_info_separate",2,"GLSA",60,0.288
"N",989,0,989,989,989,NA,0,"CAM-SC_info_separate",2,"GLSA",60,988.93
"psi",0.494,0.011,0.472,0.494,0.517,1,5268,"CAM-SC_info_separate",2,"GLSA",60,0.495
"sigma",0.788,0,0.788,0.788,0.788,NA,0,"CAM-SC_info_separate",2,"GLSA",60,0.788
"D",9.003,0,9.003,9.003,9.003,NA,0,"CAM-SC_info_separate",3,"GLSA",60,9.003
"lam0",0.288,0,0.288,0.288,0.288,NA,0,"CAM-SC_info_separate",3,"GLSA",60,0.288
"N",989,0,989,989,989,NA,0,"CAM-SC_info_separate",3,"GLSA",60,988.93
"psi",0.494,0.011,0.472,0.494,0.517,1,5268,"CAM-SC_info_separate",3,"GLSA",60,0.495
"sigma",0.788,0,0.788,0.788,0.788,NA,0,"CAM-SC_info_separate",3,"GLSA",60,0.788
"D",17.483,0.701,15.412,17.706,18.188,1.1,66,"CAM-SC_info_separate",4,"GLSA",60,18.17
"lam0",1.221,0.228,0.88,1.19,1.784,1.02,320,"CAM-SC_info_separate",4,"GLSA",60,1.152
"N",1920.455,76.964,1693,1945,1998,1.1,66,"CAM-SC_info_separate",4,"GLSA",60,1996.016
"psi",0.96,0.039,0.844,0.972,0.999,1.1,67,"CAM-SC_info_separate",4,"GLSA",60,0.998
"sigma",5.287,0.438,4.445,5.279,6.179,1.03,332,"CAM-SC_info_separate",4,"GLSA",60,5.198
"D",9.003,0,9.003,9.003,9.003,NA,0,"CAM-SC_info_separate",5,"GLSA",60,9.003
"lam0",0.288,0,0.288,0.288,0.288,NA,0,"CAM-SC_info_separate",5,"GLSA",60,0.288
"N",989,0,989,989,989,NA,0,"CAM-SC_info_separate",5,"GLSA",60,988.93
"psi",0.494,0.011,0.472,0.494,0.517,1,5268,"CAM-SC_info_separate",5,"GLSA",60,0.495
"sigma",0.788,0,0.788,0.788,0.788,NA,0,"CAM-SC_info_separate",5,"GLSA",60,0.788
"D",17.232,0.856,14.92,17.487,18.17,1.05,42,"CAM-SC_info_separate",6,"GLSA",60,18.112
"lam0",1.034,0.285,0.639,0.986,1.77,1.02,291,"CAM-SC_info_separate",6,"GLSA",60,0.956
"N",1892.949,94.004,1639,1921,1996,1.05,42,"CAM-SC_info_separate",6,"GLSA",60,1989.633
"psi",0.946,0.047,0.818,0.96,0.998,1.05,47,"CAM-SC_info_separate",6,"GLSA",60,0.995
"sigma",4.351,0.409,3.604,4.341,5.185,1.01,415,"CAM-SC_info_separate",6,"GLSA",60,4.316
"D",17.179,0.866,14.984,17.396,18.17,1.03,52,"CAM-SC_info_separate",7,"GLSA",60,18.136
"lam0",0.997,0.255,0.633,0.958,1.597,1.05,350,"CAM-SC_info_separate",7,"GLSA",60,0.905
"N",1887.165,95.157,1646,1911,1996,1.03,52,"CAM-SC_info_separate",7,"GLSA",60,1992.215
"psi",0.943,0.048,0.822,0.955,0.998,1.03,48,"CAM-SC_info_separate",7,"GLSA",60,0.996
"sigma",4.32,0.402,3.588,4.305,5.177,1.03,414,"CAM-SC_info_separate",7,"GLSA",60,4.326
"D",9.003,0,9.003,9.003,9.003,NA,0,"CAM-SC_info_separate",8,"GLSA",60,9.003
"lam0",0.288,0,0.288,0.288,0.288,NA,0,"CAM-SC_info_separate",8,"GLSA",60,0.288
"N",989,0,989,989,989,NA,0,"CAM-SC_info_separate",8,"GLSA",60,988.93
"psi",0.494,0.011,0.472,0.494,0.517,1,5268,"CAM-SC_info_separate",8,"GLSA",60,0.495
"sigma",0.788,0,0.788,0.788,0.788,NA,0,"CAM-SC_info_separate",8,"GLSA",60,0.788
"D",17.641,0.467,16.504,17.751,18.198,1.07,86,"CAM-SC_info_separate",1,"GLSA",1440,18.2
"lam0",0.645,0.113,0.465,0.631,0.898,1.01,677,"CAM-SC_info_separate",1,"GLSA",1440,0.577
"N",1937.858,51.253,1813,1950,1999,1.07,86,"CAM-SC_info_separate",1,"GLSA",1440,1999.281
"psi",0.969,0.026,0.906,0.975,0.999,1.07,85,"CAM-SC_info_separate",1,"GLSA",1440,0.999
"sigma",6.253,0.507,5.295,6.235,7.29,1.01,536,"CAM-SC_info_separate",1,"GLSA",1440,5.982
"D",17.266,0.867,14.866,17.533,18.161,1.11,45,"CAM-SC_info_separate",2,"GLSA",1440,18.046
"lam0",0.789,0.183,0.518,0.762,1.208,1.02,488,"CAM-SC_info_separate",2,"GLSA",1440,0.677
"N",1896.684,95.22,1633,1926,1995,1.11,45,"CAM-SC_info_separate",2,"GLSA",1440,1982.336
"psi",0.948,0.048,0.815,0.963,0.998,1.11,46,"CAM-SC_info_separate",2,"GLSA",1440,0.988
"sigma",4.701,0.449,3.863,4.684,5.65,1,464,"CAM-SC_info_separate",2,"GLSA",1440,4.627
"D",17.62,0.474,16.495,17.733,18.193,1,84,"CAM-SC_info_separate",3,"GLSA",1440,18.197
"lam0",0.771,0.123,0.555,0.761,1.043,1.01,711,"CAM-SC_info_separate",3,"GLSA",1440,0.767
"N",1935.551,52.043,1812,1948,1998.525,1,84,"CAM-SC_info_separate",3,"GLSA",1440,1998.95
"psi",0.967,0.026,0.905,0.974,0.999,1,87,"CAM-SC_info_separate",3,"GLSA",1440,0.993
"sigma",6.421,0.515,5.482,6.398,7.53,1.01,437,"CAM-SC_info_separate",3,"GLSA",1440,6.308
"D",17.362,0.695,15.671,17.533,18.188,1.13,67,"CAM-SC_info_separate",4,"GLSA",1440,18
"lam0",0.73,0.138,0.509,0.71,1.053,1.03,684,"CAM-SC_info_separate",4,"GLSA",1440,0.697
"N",1907.2,76.377,1721.475,1926,1998,1.13,67,"CAM-SC_info_separate",4,"GLSA",1440,1977.266
"psi",0.953,0.038,0.86,0.962,0.999,1.13,64,"CAM-SC_info_separate",4,"GLSA",1440,0.989
"sigma",5.47,0.46,4.553,5.456,6.374,1.03,509,"CAM-SC_info_separate",4,"GLSA",1440,5.353
"D",17.22,0.779,15.266,17.442,18.143,1.27,60,"CAM-SC_info_separate",5,"GLSA",1440,17.833
"lam0",0.792,0.163,0.536,0.769,1.163,1.02,540,"CAM-SC_info_separate",5,"GLSA",1440,0.757
"N",1891.568,85.541,1677,1916,1993,1.27,60,"CAM-SC_info_separate",5,"GLSA",1440,1958.983
"psi",0.945,0.043,0.837,0.957,0.996,1.28,73,"CAM-SC_info_separate",5,"GLSA",1440,0.979
"sigma",5.182,0.447,4.355,5.168,6.106,1.01,508,"CAM-SC_info_separate",5,"GLSA",1440,5.09
"D",17.418,0.738,15.48,17.642,18.179,1.03,50,"CAM-SC_info_separate",6,"GLSA",1440,18.044
"lam0",0.707,0.176,0.446,0.678,1.121,1.03,604,"CAM-SC_info_separate",6,"GLSA",1440,0.64
"N",1913.362,81.019,1700.475,1938,1997,1.03,50,"CAM-SC_info_separate",6,"GLSA",1440,1982.148
"psi",0.956,0.041,0.849,0.969,0.998,1.03,48,"CAM-SC_info_separate",6,"GLSA",1440,0.997
"sigma",4.569,0.441,3.765,4.544,5.504,1.01,523,"CAM-SC_info_separate",6,"GLSA",1440,4.432
"D",17.16,0.997,14.365,17.433,18.17,1.09,63,"CAM-SC_info_separate",7,"GLSA",1440,18.043
"lam0",0.668,0.17,0.426,0.64,1.097,1.01,531,"CAM-SC_info_separate",7,"GLSA",1440,0.649
"N",1885.042,109.57,1578,1915,1996,1.09,63,"CAM-SC_info_separate",7,"GLSA",1440,1982.002
"psi",0.942,0.055,0.787,0.957,0.998,1.09,61,"CAM-SC_info_separate",7,"GLSA",1440,0.993
"sigma",4.498,0.441,3.674,4.487,5.408,1.02,561,"CAM-SC_info_separate",7,"GLSA",1440,4.508
"D",17.558,0.552,15.967,17.688,18.188,1.11,94,"CAM-SC_info_separate",8,"GLSA",1440,18.171
"lam0",0.83,0.156,0.582,0.812,1.192,1.01,534,"CAM-SC_info_separate",8,"GLSA",1440,0.847
"N",1928.698,60.626,1754,1943,1998,1.11,94,"CAM-SC_info_separate",8,"GLSA",1440,1996.068
"psi",0.964,0.03,0.877,0.971,0.999,1.11,92,"CAM-SC_info_separate",8,"GLSA",1440,0.998
"sigma",5.608,0.456,4.811,5.581,6.571,1,512,"CAM-SC_info_separate",8,"GLSA",1440,5.538
