"param","mean","sd","2.5%","50%","97.5%","Rhat","n.eff","model","g","sp","t","mode"
"sigma",27.623,19.205,7.576,21.235,79.101,2.11,28,"CAM-SC_noinfo_separate",1,"PEMA",1440,14.65
"D",90.807,58.028,6.637,92.013,186.389,2.38,18,"CAM-SC_noinfo_separate",2,"PEMA",1440,9.807
"lam0",0.026,0.046,0.001,0.011,0.196,1.33,39,"CAM-SC_noinfo_separate",2,"PEMA",1440,0.004
"N",807.273,515.865,59,818,1657,2.38,18,"CAM-SC_noinfo_separate",2,"PEMA",1440,87.183
"psi",0.404,0.258,0.029,0.409,0.828,2.38,18,"CAM-SC_noinfo_separate",2,"PEMA",1440,0.051
"sigma",56.119,41.163,10.779,42.486,173.123,2.42,29,"CAM-SC_noinfo_separate",2,"PEMA",1440,33.233
"D",90.014,79.889,1.237,57.312,217.323,4.07,10,"CAM-SC_noinfo_separate",3,"PEMA",1440,2.051
"lam0",0.053,0.058,0.008,0.033,0.237,1.5,28,"CAM-SC_noinfo_separate",3,"PEMA",1440,0.013
"N",800.227,710.215,11,509.5,1932,4.07,10,"CAM-SC_noinfo_separate",3,"PEMA",1440,18.231
"psi",0.4,0.355,0.006,0.256,0.966,4.08,10,"CAM-SC_noinfo_separate",3,"PEMA",1440,0.01
"sigma",46.334,35.989,11.381,31.737,145.186,1.9,26,"CAM-SC_noinfo_separate",3,"PEMA",1440,16.006
"D",82.809,65.658,2.362,80.54,224.184,5.15,15,"CAM-SC_noinfo_separate",4,"PEMA",1440,2.989
"lam0",0.027,0.036,0.001,0.014,0.141,2.1,30,"CAM-SC_noinfo_separate",4,"PEMA",1440,0.001
"N",736.174,583.702,21,716,1993,5.15,15,"CAM-SC_noinfo_separate",4,"PEMA",1440,26.575
"psi",0.368,0.292,0.011,0.356,0.996,5.15,15,"CAM-SC_noinfo_separate",4,"PEMA",1440,0.015
"sigma",77.57,50.571,16.857,70.974,188.646,1.13,32,"CAM-SC_noinfo_separate",4,"PEMA",1440,18.835
"D",47.967,42.172,2.587,31.046,141.845,1.79,11,"CAM-SC_noinfo_separate",5,"PEMA",1440,3.65
"lam0",0.052,0.041,0.006,0.042,0.169,1.35,41,"CAM-SC_noinfo_separate",5,"PEMA",1440,0.007
"N",426.423,374.912,23,276,1261,1.79,11,"CAM-SC_noinfo_separate",5,"PEMA",1440,32.45
"psi",0.213,0.187,0.011,0.139,0.631,1.79,11,"CAM-SC_noinfo_separate",5,"PEMA",1440,0.024
"sigma",57.004,44.336,11.867,40.803,181.448,2.06,29,"CAM-SC_noinfo_separate",5,"PEMA",1440,18.003
"D",33.254,35.145,0.787,19.235,118.507,2.2,25,"CAM-SC_noinfo_separate",6,"PEMA",1440,1.464
"lam0",0.054,0.077,0.001,0.034,0.226,1.92,44,"CAM-SC_noinfo_separate",6,"PEMA",1440,0.003
"N",295.628,312.436,7,171,1053.525,2.2,25,"CAM-SC_noinfo_separate",6,"PEMA",1440,13.013
"psi",0.148,0.156,0.003,0.086,0.525,2.2,26,"CAM-SC_noinfo_separate",6,"PEMA",1440,0.008
"sigma",88.969,51.761,16.098,79.789,191.543,1.41,40,"CAM-SC_noinfo_separate",6,"PEMA",1440,17.831
"D",56.827,71.787,0.562,15.298,218.448,3.94,23,"CAM-SC_noinfo_separate",7,"PEMA",1440,1.677
"lam0",0.065,0.084,0.002,0.032,0.294,1.26,21,"CAM-SC_noinfo_separate",7,"PEMA",1440,0.01
"N",505.192,638.185,5,136,1942,3.94,23,"CAM-SC_noinfo_separate",7,"PEMA",1440,14.905
"psi",0.253,0.319,0.003,0.069,0.972,3.95,23,"CAM-SC_noinfo_separate",7,"PEMA",1440,0.007
"sigma",73,48.983,14.092,59.446,186.557,1.66,49,"CAM-SC_noinfo_separate",7,"PEMA",1440,30.37
"D",75.041,78.846,1.125,29.809,212.711,12.18,13,"CAM-SC_noinfo_separate",8,"PEMA",1440,2.729
"lam0",0.041,0.051,0.001,0.028,0.176,1.64,35,"CAM-SC_noinfo_separate",8,"PEMA",1440,0.001
"N",667.113,700.942,10,265,1891,12.18,13,"CAM-SC_noinfo_separate",8,"PEMA",1440,24.261
"psi",0.334,0.35,0.005,0.132,0.945,12.2,14,"CAM-SC_noinfo_separate",8,"PEMA",1440,0.012
"sigma",92.625,53.196,19.102,86.341,191.822,1.32,53,"CAM-SC_noinfo_separate",8,"PEMA",1440,35.196
"D",165.589,37.894,81.215,169.854,222.385,1.32,21,"CAM-SC_info_separate",1,"PEMA",0,221.575
"lam0",9.069,2.691,5.304,8.577,16.252,1.21,46,"CAM-SC_info_separate",1,"PEMA",0,8.035
"N",1472.083,336.875,722,1510,1977,1.32,21,"CAM-SC_info_separate",1,"PEMA",0,1969.805
"psi",0.736,0.169,0.358,0.755,0.988,1.32,20,"CAM-SC_info_separate",1,"PEMA",0,0.972
"sigma",2.484,0.371,1.866,2.452,3.276,1.34,58,"CAM-SC_info_separate",1,"PEMA",0,2.395
"D",59.905,26.195,24.634,55.287,116.648,3.17,61,"CAM-SC_info_separate",2,"PEMA",0,36.334
"lam0",55.451,22.578,21.368,54.626,95.987,2.7,26,"CAM-SC_info_separate",2,"PEMA",0,24.579
"N",532.556,232.872,219,491.5,1037,3.17,61,"CAM-SC_info_separate",2,"PEMA",0,323.013
"psi",0.266,0.117,0.109,0.245,0.519,3.16,65,"CAM-SC_info_separate",2,"PEMA",0,0.158
"sigma",3.911,0.581,2.611,3.99,4.879,2.35,14,"CAM-SC_info_separate",2,"PEMA",0,4.028
"D",116.291,41.881,47.582,114.511,194.21,5.75,31,"CAM-SC_info_separate",3,"PEMA",0,104.7
"lam0",24.159,10.345,9.758,23.19,50.383,2.94,12,"CAM-SC_info_separate",3,"PEMA",0,16.975
"N",1033.824,372.321,423,1018,1726.525,5.75,31,"CAM-SC_info_separate",3,"PEMA",0,930.78
"psi",0.517,0.186,0.21,0.509,0.863,5.72,32,"CAM-SC_info_separate",3,"PEMA",0,0.482
"sigma",3.805,0.395,3.018,3.76,4.641,2.15,28,"CAM-SC_info_separate",3,"PEMA",0,3.67
"D",150.973,44.185,67.042,160.067,211.474,2.13,21,"CAM-SC_info_separate",4,"PEMA",0,196.637
